Beer_Name,IBU,ABV,Rating,Beer_Type
Guinness Draught,45,4.2,3.792,Stout
Breakfast Stout,60,8.3,4.145,Stout
Milk Stout Nitro,25,6.0,3.951,Stout
Dragon’s Milk,31,11.0,4.062,Stout
Old Rasputin,75,9.0,4.018,Stout
Bourbon County Brand Stout,60,15.2,4.404,Stout
Kentucky Breakfast Stout (KBS),70,12.3,4.444,Stout
Young's Double Chocolate Stout,25,5.2,3.694,Stout
Shake Chocolate Porter,39,5.9,3.997,Stout
Rübæus,15,5.7,3.728,Stout
Ten FIDY,65,10.5,4.1,Stout
Bomb!,65,13.0,4.316,Stout
Milk Stout,25,6.0,3.8939999999999997,Stout
Warlock,40,8.6,3.966,Stout
Organic Chocolate Stout,28,5.0,4.075,Stout
Murphy's Irish Stout,34,4.0,3.5060000000000002,Stout
Stone Xocoveza,50,8.1,4.087,Stout
Yeti,75,9.5,3.923,Stout
Crème Brûlée,55,10.0,3.949,Stout
Speedway Stout,70,12.0,4.2,Stout
Black Chocolate Stout,51,10.0,3.847,Stout
Stone Coffee Milk Stout,40,5.0,3.764,Stout
Imperial Stout,75,10.5,4.07,Stout
Cappuccino Stout,29,9.1,3.823,Stout
Big Bad Baptist,65,12.1,4.209,Stout
Canadian Breakfast Stout (CBS),45,11.6,4.513999999999999,Stout
Oatmeal Stout,32,5.0,3.8160000000000003,Stout
Obsidian Stout,55,6.4,3.7910000000000004,Stout
Peanut Butter Milk Stout,30,5.3,4.003,Stout
Storm King,65,9.1,3.7310000000000003,Stout
Wild Turkey Bourbon Barrel Stout,14,6.9,3.872,Stout
Neapolitan Milk Stout,37,6.0,3.845,Stout
Velvet Merlin,27,5.5,3.873,Stout
Moo-Hoo Chocolate Milk Stout,30,6.0,3.905,Stout
The Poet,37,5.2,3.77,Stout
Choklat,65,10.0,4.128,Stout
Jet Black Heart,30,4.7,3.7110000000000003,Stout
Narwhal Imperial Stout,60,10.2,3.971,Stout
Blackout Stout,50,9.9,3.985,Stout
Koko Brown Ale,28,5.5,3.65,Stout
JavaHead Stout,60,7.5,3.702,Stout
Wake-n-Bake Coffee Oatmeal Imperial Stout,50,9.4,4.04,Stout
Black House,40,5.8,3.9210000000000003,Stout
2X Stout (Double Milk Stout),55,7.5,3.781,Stout
Liquid Bliss,30,6.1,3.86,Stout
Milk Stout,25,5.7,3.779,Stout
Chocolate Sombrero,6,9.0,3.793,Stout
Aon Pecan Mud Cake,60,11.0,4.263,Stout
Guinness Foreign Extra Stout,47,7.5,3.674,Stout
Buffalo Sweat Oatmeal Cream Stout,14,5.0,3.838,Stout
Plead The 5th Imperial Stout,41,11.0,4.135,Stout
Barney Flats Oatmeal Stout,15,5.8,3.617,Stout
Nitro Oatmeal Stout,38,4.5,3.786,Stout
Chocolate Stout,69,5.8,3.815,Stout
Shakespeare Oatmeal Stout,60,5.7,3.722,Stout
Kentucky Bourbon Barrel Coffee Stout,18,8.0,3.7460000000000004,Stout
Double Stout,45,8.8,3.843,Stout
Barrel-Aged Ten FIDY Imperial Stout Aged in Bourbon Barrels,75,12.9,4.408,Stout
Péché Mortel,76,9.5,4.131,Stout
Red Velvet,33,5.5,3.537,Stout
Manta Ray,70,8.5,3.9010000000000002,Stout
Coffee Stout,53,6.2,3.718,Stout
Pearl Necklace Chesapeake Stout,35,5.5,3.574,Stout
Dark Truth Stout,60,9.7,3.8560000000000003,Stout
Imperial Stout,72,9.9,3.915,Stout
Nitro Merlin,27,5.5,3.9419999999999997,Stout
Brewer's Reserve Bourbon Barrel Stout,48,10.5,4.2010000000000005,Stout
Lizard of Koz,40,10.5,3.8289999999999997,Stout
Wake Up Dead Nitro,45,10.2,3.9189999999999996,Stout
World Wide Stout,70,18.0,4.248,Stout
Vanilla Bean Stout,50,10.7,4.0680000000000005,Stout
Gingerbread Stout,55,9.2,4.09,Stout
Campfire Stout,38,6.5,4.042,Stout
Indra Kunindra,50,7.0,3.514,Stout
High West-ified Imperial Coffee Stout,39,12.2,4.254,Stout
Split Shot,28,5.6,3.9019999999999997,Stout
Cappuccino Oatmeal Stout,10,5.9,3.6489999999999996,Stout
Double Chocolate Stout,50,8.7,4.061,Stout
O'Hara's Irish Stout,40,4.3,3.516,Stout
Choklat Oranj,60,10.0,4.039,Stout
"Fade To Black, Vol. 1",30,8.5,3.844,Stout
Mexican Cake,25,10.5,4.31,Stout
Cocoa Psycho,85,10.0,3.943,Stout
Oatmeal Stout,36,5.0,3.5580000000000003,Stout
Blueberry Maple Stout,26,6.0,3.762,Stout
Love Stout,21,5.5,3.6860000000000004,Stout
Decadent Dark Chocolate Ale,11,5.0,3.8369999999999997,Stout
Imperial Stout,35,7.0,3.778,Stout
Quilter's Irish Death,12,7.8,3.905,Stout
Samuel Adams Merry Maker Gingerbread Stout,25,9.0,3.5639999999999996,Stout
The Commodore,60,6.5,3.719,Stout
Gotta Get Up To Get Down,15,5.0,3.992,Stout
Peg Leg,30,8.0,3.639,Stout
Americano Stout,65,8.7,3.958,Stout
Samuel Adams Cream Stout,28,4.9,3.525,Stout
Marshal Zhukov's,70,11.8,4.198,Stout
Speedway Stout (Vietnamese Coffee),70,12.0,4.376,Stout
Beer for Breakfast,30,7.4,3.81,Stout
Tres Blueberry Stout,20,7.5,3.6710000000000003,Stout
Sea Monster,65,10.0,3.911,Stout
Oak Barrel Stout,30,5.5,3.67,Stout
Bourbon County Brand Coffee Stout,60,13.4,4.541,Stout
Fuel Cafe Organic Coffee Stout,17,6.4,3.673,Stout
Oak-Aged Vanilla World Wide Stout,70,17.5,4.292,Stout
Cutthroat Porter,17,5.0,3.718,Stout
Oak Aged Yeti,75,9.5,4.063,Stout
Mocha Merlin,23,5.5,3.9339999999999997,Stout
Milk Stout,25,5.0,3.6239999999999997,Stout
Black Mocha Stout,30,5.0,3.698,Stout
Java Stout,50,8.0,3.892,Stout
Vanilla Oatis,50,7.0,3.795,Stout
Samuel Adams Nitro Coffee Stout,32,5.8,3.739,Stout
Kentucky Breakfast Stout (KBS) (2019),70,12.2,4.375,Stout
20th Anniversary Encore Series: Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,55,9.2,3.9930000000000003,Stout
Sin-Tax Imperial Peanut Butter Stout,66,8.1,3.89,Stout
Coffee Stout,30,5.7,3.799,Stout
Dark Hollow,70,10.0,4.004,Stout
Cream Stout,31,6.5,3.616,Stout
35K,26,7.0,3.8760000000000003,Stout
Serpent's Stout,55,11.0,4.075,Stout
Thick Mint,60,10.0,3.998,Stout
Son of A Baptist,60,8.0,4.003,Stout
Tatonka® Stout,50,8.5,3.568,Stout
Buried Hatchet,50,8.25,3.903,Stout
Dragonstooth Stout,36,7.45,3.822,Stout
Lugene Chocolate Milk Stout,18,8.5,3.989,Stout
Belhaven Black,10,4.2,3.592,Stout
The Abyss,86,11.0,4.157,Stout
Stout,50,5.8,3.5810000000000004,Stout
B.O.R.I.S. The Crusher Oatmeal Imperial Stout,60,9.4,4.053,Stout
Rasputin / Moord & Doodslag,46,10.4,3.9539999999999997,Stout
Moloko,30,8.0,4.0360000000000005,Stout
Stochasticity Project: Master of Disguise,55,9.7,3.8339999999999996,Stout
Hunahpu’s,80,10.2,4.459,Stout
Guinness 200th Anniversary Export Stout,10,6.0,3.803,Stout
Sump Coffee Stout,60,10.5,4.303999999999999,Stout
Yin,90,10.0,3.92,Stout
Chicory Stout,21,5.2,3.748,Stout
Hitachino Nest Espresso Stout,36,7.0,3.736,Stout
Big Lushious,36,7.8,3.863,Stout
Velvet Merkin,33,8.5,4.228,Stout
Bourbon County Brand Stout (2018) 14.7%,60,14.7,4.475,Stout
Ohio City Oatmeal Stout,25,5.4,3.6919999999999997,Stout
Big Bear Black Stout™,55,8.1,3.7760000000000002,Stout
Drew Curtis / Wil Wheaton / Greg Koch Stone Farking Wheaton W00tstout (2018),45,11.5,4.103,Stout
Uncle Jacob's Stout,65,16.9,4.3660000000000005,Stout
Black Cab Stout,40,4.5,3.548,Stout
City of the Dead,30,7.5,4.023,Stout
Milkshake Stout,20,5.0,3.787,Stout
Sexual Chocolate,75,9.6,4.119,Stout
Samuel Adams Thirteenth Hour Stout,17,9.0,3.595,Stout
The Chocolate Manifesto - Triple Chocolate Milk Stout,60,10.0,4.122,Stout
IPA,52,6.2,3.761,IPA
All Day IPA,42,4.7,3.73,IPA
Goose IPA,55,5.9,3.529,IPA
Sculpin,70,7.0,3.986,IPA
60 Minute IPA,60,6.0,3.863,IPA
Stone IPA,71,6.9,3.804,IPA
Jai Alai,70,7.5,3.983,IPA
90 Minute Imperial IPA,90,9.0,4.066,IPA
Punk IPA,35,5.6,3.78,IPA
Fresh Squeezed IPA,60,6.4,3.94,IPA
Grapefruit Sculpin,70,7.0,3.975,IPA
Torpedo Extra IPA,65,7.2,3.7439999999999998,IPA
A Little Sumpin' Sumpin' Ale,65,7.5,3.824,IPA
Space Dust IPA,62,8.2,3.883,IPA
Centennial IPA,65,7.2,3.783,IPA
Nugget Nectar,93,7.5,4.005,IPA
Sip of Sunshine,65,8.0,4.393,IPA
Citradelic: Tangerine IPA,50,6.0,3.7,IPA
Union Jack IPA,70,7.0,3.8310000000000004,IPA
Lagunitas Sucks,63,8.0,3.969,IPA
Racer 5 IPA®,75,7.5,3.858,IPA
Stone Delicious IPA,75,7.7,3.779,IPA
Anti-Hero,65,6.7,3.846,IPA
Harpoon IPA,42,5.9,3.508,IPA
HopDevil IPA,70,6.7,3.6689999999999996,IPA
Perpetual IPA,85,7.5,3.8139999999999996,IPA
DirtWolf Double IPA,85,8.7,3.947,IPA
Hop Hunter IPA,60,6.2,3.782,IPA
Stone Go To IPA,65,4.5,3.721,IPA
Brooklyn East IPA,47,6.9,3.525,IPA
Hop Nosh IPA,82,7.3,3.738,IPA
Raging Bitch Belgian IPA,60,8.3,3.662,IPA
Resin,103,9.1,3.9810000000000003,IPA
Celebration Fresh Hop IPA,65,6.8,3.737,IPA
Stone Ruination Double IPA 2.0,100,8.5,4.018,IPA
Hopsecutioner,71,7.3,3.766,IPA
Lunch,65,7.0,4.223,IPA
Furious,100,6.6,3.917,IPA
Maximus,72,8.2,3.905,IPA
IPA,50,6.3,3.6830000000000003,IPA
Elvis Juice,40,6.5,3.801,IPA
Loose Cannon,45,7.25,3.7110000000000003,IPA
Pinner,35,4.9,3.6719999999999997,IPA
Voodoo Ranger IPA,50,7.0,3.673,IPA
2XIPA,80,8.2,3.8139999999999996,IPA
Long Hammer IPA,44,6.2,3.469,IPA
Brew Free! or Die IPA,70,7.0,3.7710000000000004,IPA
Snake Dog IPA,60,7.1,3.5980000000000003,IPA
Head Hunter IPA,87,7.5,3.9760000000000004,IPA
Accumulation,55,6.2,3.6180000000000003,IPA
Flower Power,75,7.2,3.8,IPA
Mosaic Promise,50,5.5,3.783,IPA
120 Minute IPA,120,18.0,4.253,IPA
Pineapple Sculpin,70,7.0,3.798,IPA
Summer Love,40,5.2,3.452,IPA
Hazy Little Thing,40,6.7,3.798,IPA
Green,90,7.5,4.47,IPA
Flesh & Blood IPA,45,7.5,3.798,IPA
Castaway IPA,50,6.0,3.536,IPA
Duet,45,7.0,3.969,IPA
Haze,90,8.2,4.502,IPA
Indian Brown,50,7.2,3.764,IPA
Easy Jack,47,4.0,3.7,IPA
Undercover Investigation Shut-Down Ale,66,9.7,3.863,IPA
Finestkind IPA,75,6.9,3.6460000000000004,IPA
Modus Hoperandi,88,6.8,3.792,IPA
Double Jack,85,9.5,4.103,IPA
Green Line Pale Ale,30,5.4,3.4760000000000004,IPA
Big Eye,71,7.0,3.7319999999999998,IPA
IPA,60,7.0,3.8689999999999998,IPA
Truth,75,7.2,3.8480000000000003,IPA
Azacca IPA,70,7.0,3.7510000000000003,IPA
Blind Pig IPA,70,6.1,4.177,IPA
Stone Ripper,40,5.7,3.665,IPA
DayTime IPA,31,4.0,3.654,IPA
The Calling,75,8.5,3.91,IPA
12th of Never Ale,45,5.5,3.7230000000000003,IPA
Chillwave Double IPA,80,9.0,4.026,IPA
Boomsauce,78,7.8,3.931,IPA
Habanero Sculpin,70,7.0,3.5580000000000003,IPA
IPA,70,6.43,3.727,IPA
Houblon Chouffe,47,9.0,3.73,IPA
Titan IPA,65,7.1,3.6519999999999997,IPA
Nitro Red Chair NWPA,60,6.2,3.705,IPA
Tropical Torpedo,55,6.7,3.616,IPA
Soul Style,75,6.5,3.7489999999999997,IPA
Double Trouble,86,9.4,3.972,IPA
Stone Tangerine Express IPA,75,6.7,3.735,IPA
The Maharaja,102,10.0,4.041,IPA
Bloodline Blood Orange Ale,40,7.0,3.685,IPA
Burton Baton,70,10.0,4.063,IPA
7 Hop IPA,76,7.77,3.8939999999999997,IPA
Total Domination,81,6.7,3.738,IPA
Chainbreaker White IPA,55,5.6,3.596,IPA
M-43 N.E. India Pale Ale ,65,6.8,4.239,IPA
Up-Hi,80,5.9,3.739,IPA
Nitro IPA,44,5.8,3.022,IPA
Crooked Tree IPA,50,7.0,3.6889999999999996,IPA
Inversion IPA,65,6.3,3.6210000000000004,IPA
Hoppyum IPA,78,6.25,3.752,IPA
Mango Even Keel,40,3.8,3.641,IPA
Stone Cali-Belgique IPA,77,6.9,3.72,IPA
Hoptical Illusion,66,7.0,3.588,IPA
Sixty One,50,6.5,3.665,IPA
Single-Wide I.P.A.,57,5.7,3.572,IPA
Red's Rye IPA,70,6.6,3.779,IPA
Limbo IPA,80,7.6,3.767,IPA
"West Coast IPA (-2013, 2019-)",95,7.0,3.865,IPA
Pernicious IPA,70,7.3,4.047,IPA
Romantic Chemistry,40,7.2,3.778,IPA
Stone RuinTen Triple IPA,110,10.8,4.166,IPA
The Substance,80,6.6,4.178999999999999,IPA
Avery IPA,69,6.5,3.617,IPA
Hopadillo IPA,65,6.6,3.702,IPA
Voodoo Ranger Juicy Haze IPA,42,7.5,3.787,IPA
Jack Hammer,250,7.2,3.846,IPA
Hanalei Island IPA,40,4.5,3.59,IPA
Stone Sublimely Self-Righteous Black IPA,90,8.7,3.9619999999999997,IPA
Apocalypse IPA,70,6.8,3.736,IPA
IPA,60,7.0,3.6310000000000002,IPA
Sága IPA,80,6.4,3.6710000000000003,IPA
Liberty Ale,47,5.9,3.488,IPA
IPA,73,7.25,3.9019999999999997,IPA
Wolf Pup Session IPA,50,4.5,3.641,IPA
Commodore Perry IPA,70,7.7,3.605,IPA
Deviant Dale's,85,8.0,3.883,IPA
Space Cake,90,9.0,3.927,IPA
Hop Ottin' IPA,80,7.0,3.56,IPA
Watermelon Dorado,90,10.0,3.513,IPA
Road 2 Ruin Double IPA,78,8.0,3.8360000000000003,IPA
Vedett Extra Ordinary IPA,40,5.5,3.5210000000000004,IPA
Pinedrops IPA,70,6.5,3.6839999999999997,IPA
Mooie Nel IPA / Northsea IPA,70,6.5,3.66,IPA
Night Time Ale,65,8.2,3.8339999999999996,IPA
Huma Lupa Licious,70,7.7,3.7510000000000003,IPA
Breaking Bud,50,6.5,3.912,IPA
Dorado Double IPA,90,10.0,3.924,IPA
Hop Knife,87,6.2,3.7969999999999997,IPA
Citrusinensis Pale Ale,49,7.5,3.878,IPA
Myrcenary Double IPA,70,9.3,4.031000000000001,IPA
Hercules Double IPA,85,10.0,3.8310000000000004,IPA
Eight Point IPA,60,6.2,3.568,IPA
A Little Sumpin' Extra! Ale,72,8.7,3.988,IPA
Jaipur,55,5.9,3.6710000000000003,IPA
Brutal IPA,46,6.2,3.6860000000000004,IPA
Samuel Adams Rebel Grapefruit IPA,52,6.3,3.4560000000000004,IPA
Tropicália,65,6.6,4.125,IPA
Devil Dancer,112,12.0,3.967,IPA
Lake Erie Monster,80,9.5,3.8710000000000004,IPA
Yellow Rose,62,6.8,4.073,IPA
Tricerahops ,84,8.0,3.91,IPA
Samuel Adams Rebel Rouser,85,8.4,3.5860000000000003,IPA
Be Hoppy,70,6.5,3.84,IPA
IPA,60,7.0,3.617,IPA
Nelson,80,7.0,4.102,IPA
Crusher,110,8.0,4.356,IPA
Aprihop,50,7.0,3.701,IPA
Goin' Coastal,45,6.1,3.65,IPA
Sea Hag IPA,65,6.2,3.845,IPA
Hop JuJu,100,9.0,4.265,IPA
Captain's Daughter,69,8.5,4.091,IPA
White IPA,45,5.9,3.275,IPA
Joe,70,6.9,3.752,IPA
Stone Pataskala Red X IPA,70,7.3,3.8739999999999997,IPA
Samuel Adams New England IPA,35,6.8,3.701,IPA
GoneAway,60,7.0,3.927,IPA
75 Minute IPA,75,7.5,3.9810000000000003,IPA
Hoppy Birthday,60,5.25,3.863,IPA
Hop Gun,60,7.0,3.7430000000000003,IPA
Abrasive Ale,100,9.2,4.244,IPA
RPM IPA,50,6.6,3.9819999999999998,IPA
Galactica,86,8.0,3.799,IPA
Islander IPA,65,7.0,3.656,IPA
Dayglow IPA,65,7.4,3.784,IPA
Dark Penance,100,8.9,3.8480000000000003,IPA
Hop Rising,72,9.0,3.793,IPA
Deep Ellum IPA,70,7.0,3.785,IPA
Second Fiddle,80,8.2,4.329,IPA
Neck Oil,31,4.3,3.7060000000000004,IPA
Big Swell IPA,70,6.8,3.68,IPA
Lot No. 3 IPA,65,6.8,3.765,IPA
reDANKulous,90,9.5,3.969,IPA
Big Daddy IPA,60,6.5,3.595,IPA
Monkey Fist IPA,68,6.0,3.451,IPA
471 Small Batch IPA,70,9.2,3.846,IPA
Hoptimum,100,9.6,3.978,IPA
IPA,45,7.0,3.395,IPA
The Immortal IPA,54,6.3,3.679,IPA
IPA,38,6.9,3.647,IPA
Mojo IPA,70,7.2,3.549,IPA
Citra Ass Down,68,8.2,3.9219999999999997,IPA
Golden Nugget IPA,45,6.8,4.0,IPA
Le Freak,101,9.2,3.778,IPA
White Rajah,70,6.8,4.015,IPA
Wrought Iron IPA,80,6.9,3.554,IPA
